date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:54	229/229	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202020%2017:05:55%20GMT	http://3dui.org/2017	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017.0.delayed	(from )
13:05:55	22193/22193	---M--	200	added ('OK')	text/html	etag:%2259a8682a-56b1%22	http://3dui.org/2017/	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/index.html	(from )
13:05:55	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:05:55%20GMT	http://3dui.org/robots.txt		(from )
13:05:55	3262/3262	---M--	200	added ('OK')	image/png	etag:%22594a354b-cbe%22	http://3dui.org/2017/sites/default/files/favicon.png	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/favicon.png	(from http://3dui.org/2017/)
13:05:55	5774/5774	---M--	200	added ('OK')	text/css	etag:%22594a3547-168e%22	http://3dui.org/2017/modules/system/system.base.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/modules/system/system.base.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:55	20033/20033	---M--	200	added ('OK')	text/css	etag:%22594a3555-4e41%22	http://3dui.org/2017/sites/all/modules/calendar/css/calendar_multiday.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/calendar/css/calendar_multiday.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:56	3733/3733	---M--	200	added ('OK')	text/css	etag:%22594a3558-e95%22	http://3dui.org/2017/sites/all/modules/date/date_api/date.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/date/date_api/date.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:56	3722/3722	---M--	200	added ('OK')	text/css	etag:%22594a3561-e8a%22	http://3dui.org/2017/sites/all/modules/date/date_popup/themes/datepicker.1.7.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/date/date_popup/themes/datepicker.1.7.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:56	550/550	---M--	200	added ('OK')	text/css	etag:%22226-552749381e200%22	http://3dui.org/2017/modules/field/theme/field.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/modules/field/theme/field.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:56	144/144	---M--	200	added ('OK')	text/css	etag:%2290-5527493541b40%22	http://3dui.org/2017/modules/node/node.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/modules/node/node.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:56	707/707	---M--	200	added ('OK')	text/css	etag:%222c3-5527494948a80%22	http://3dui.org/2017/sites/all/modules/views/css/views.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/views/css/views.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:57	655/655	---M--	200	added ('OK')	text/css	etag:%2228f-5527494578180%22	http://3dui.org/2017/sites/all/modules/ctools/css/ctools.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/ctools/css/ctools.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202020%2017:05:58%20GMT	http://cdn.jsdelivr.net/bootstrap/3.3.2/css/bootstrap.min.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/cdn.jsdelivr.net/bootstrap/3.3.2/css/bootstrap.min.a.delayed	(from http://3dui.org/2017/)
13:05:57	117150/117150	---M-Z	200	added ('OK')	text/css	etag:W/%221c99e-lz43qFApIdVrwCu1UyH0Wwcrb3E%22	https://cdn.jsdelivr.net/bootstrap/3.3.2/css/bootstrap.min.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/cdn.jsdelivr.net/bootstrap/3.3.2/css/bootstrap.min.css	(from http://3dui.org/2017/)
13:05:58	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://3dui.org/2017/)
13:05:58	897/897	---M--	200	added ('OK')	text/css	etag:%22381-558119cce3000%22	http://3dui.org/2017/misc/pop-up.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/misc/pop-up.css	(from http://3dui.org/2017/)
13:05:58	14966/14966	---M--	200	added ('OK')	text/css	etag:%22594a355d-3a76%22	http://3dui.org/2017/sites/all/themes/color_glass/css/overrides.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/css/overrides.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:58	17356/17356	---M--	200	added ('OK')	text/css	etag:%22594a355d-43cc%22	http://3dui.org/2017/sites/all/themes/color_glass/css/main.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/css/main.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:59	4382/4382	---M--	200	added ('OK')	text/css	etag:%22594a355e-111e%22	http://3dui.org/2017/sites/all/themes/color_glass/css/responsive.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/css/responsive.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:59	6819/6819	---M--	200	added ('OK')	text/css	etag:%22594a355c-1aa3%22	http://3dui.org/2017/sites/all/themes/color_glass/css/color.css-ol7r1z.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/css/color.css-ol7r1z.css	(from http://3dui.org/2017/)
13:05:59	92629/92629	---M--	200	added ('OK')	application/javascript	etag:%22594a3566-169d5%22	http://3dui.org/2017/sites/all/modules/jquery_update/replace/jquery/1.9/jquery.min.js-v=1.9.1.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/jquery_update/replace/jquery/1.9/jquery.min.js-v=1.9.1.js	(from http://3dui.org/2017/)
13:05:59	2974/2974	---M--	200	added ('OK')	application/javascript	etag:%22594a3542-b9e%22	http://3dui.org/2017/misc/jquery.once.js-v=1.2.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/misc/jquery.once.js-v=1.2.js	(from http://3dui.org/2017/)
13:06:00	16797/16797	---M--	200	added ('OK')	application/javascript	etag:%22594a3542-419d%22	http://3dui.org/2017/misc/drupal.js-ol7r1z.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/misc/drupal.js-ol7r1z.js	(from http://3dui.org/2017/)
13:06:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202020%2017:06:00%20GMT	http://cdn.jsdelivr.net/bootstrap/3.3.2/js/bootstrap.min.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/cdn.jsdelivr.net/bootstrap/3.3.2/js/bootstrap.min.15.delayed	(from http://3dui.org/2017/)
13:06:00	35452/35452	---M-Z	200	added ('OK')	application/javascript	etag:W/%228a7c-s/Lvn5heeQbJNgdWtzzWS/dzNkc%22	https://cdn.jsdelivr.net/bootstrap/3.3.2/js/bootstrap.min.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/cdn.jsdelivr.net/bootstrap/3.3.2/js/bootstrap.min.js	(from http://3dui.org/2017/)
13:06:00	92629/92629	---M--	200	added ('OK')	application/javascript	etag:%22594a3566-169d5%22	http://3dui.org/2017/sites/all/modules/jquery_update/replace/jquery/1.9/jquery.min.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/jquery_update/replace/jquery/1.9/jquery.min.js	(from http://3dui.org/2017/)
13:06:00	2974/2974	---M--	200	added ('OK')	application/javascript	etag:%22594a3543-b9e%22	http://3dui.org/2017/misc/jquery.once.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/misc/jquery.once.js	(from http://3dui.org/2017/)
13:06:01	16797/16797	---M--	200	added ('OK')	application/javascript	etag:%22594a3542-419d%22	http://3dui.org/2017/misc/drupal.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/misc/drupal.js	(from http://3dui.org/2017/)
13:06:01	20033/20033	---M--	200	added ('OK')	text/css	etag:%22594a3555-4e41%22	http://3dui.org/2017/sites/all/modules/calendar/css/calendar_multiday.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/calendar/css/calendar_multiday.css	(from http://3dui.org/2017/)
13:06:01	3733/3733	---M--	200	added ('OK')	text/css	etag:%22594a3558-e95%22	http://3dui.org/2017/sites/all/modules/date/date_api/date.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/date/date_api/date.css	(from http://3dui.org/2017/)
13:06:01	3722/3722	---M--	200	added ('OK')	text/css	etag:%22594a3561-e8a%22	http://3dui.org/2017/sites/all/modules/date/date_popup/themes/datepicker.1.7.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/modules/date/date_popup/themes/datepicker.1.7.css	(from http://3dui.org/2017/)
13:06:01	550/550	---M--	200	added ('OK')	text/css	etag:%22226-5527493912440%22	http://3dui.org/2017/modules/field/theme/field.css	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/modules/field/theme/field.css	(from http://3dui.org/2017/)
